#,Letter,Old name1,Old name2,Name,Opened as a service station,Opened,Electrified,Electrified 550 V,Electrified 6000 V,Deelectrified 6000 V,Electrified 15 kV,Officially completed,Closed for S-Bahn trains,Closed,Deelectrified,Reopened,Reopened for S-Bahn trains,Reopened for regional trains,Reelectrified,Bahn1,Bahn2,Bahn3,Abbreviations1 (old),Abbreviations2 (old),Abbreviations,Latitude,Longitude
94,L,Lichtenberg-Friedrichsfelde,,Lichtenberg,,1881-01-01,1928-11-06,,,,,,,,,,,,,Ostbahn,,,Blo,,BLI,52.50959,13.49703
95,L,,,Lichtenrade,,1883-06-01,1939-05-01,,,,,,,,,,,,,Dresdener Bahn,,,Lrd,,BLRD,52.38757,13.39629
96,L,Lichterfelde,,Lichterfelde Ost,,1868-09-20,1929-07-02,1903-06-03,,,,,,1984-01-09,,1995-05-28,,,,Anhalter Bahn,,,Lio,,BLIO,52.43001,13.32835
97,L,Groß-Lichterfelde Süd,,Lichterfelde Süd,,1893-08-01,1943-08-09,,,,,,,1984-01-09,,1998-09-25,,,,Anhalter Bahn,,,Lis,,BLIS,52.41105,13.30863
98,L,Lichterfelde (Potsdamer Bahn),,Lichterfelde West,,1872-12-15,1933-05-15,,,,,,,1984-01-09,,1985-02-01,,,,Wannseebahn,,,Liw,,BLWE,52.44354,13.29378
99,M,,,Mahlow,,1875-06-17,1939-05-15,,,,,,,1961-09-01,,1992-08-31,,,,Dresdener Bahn,,,Mah,,BMAH,52.36027,13.40861
100,M,,,Mahlsdorf,,1895-09-01,1930-12-15,,,,,,,,,,,,,Ostbahn,,,Mal,,BMDF,52.51246,13.61187
101,M,,,Marienfelde,,1875-06-17,1939-05-15,,,,,,,,,,,,,Dresdener Bahn,,,MfS,Mf,BMF,52.42371,13.37483
102,M,,,Marzahn,,1898-05-01,1976-12-30,,,,,,,,,,,,,Wriezener Bahn,,,Mar,,BMAZ,52.54393,13.54148
103,M,Otto-Winzer-Straße,,Mehrower Allee,,1980-12-15,1980-12-15,,,,,,,,,,,,,Wriezener Bahn,,,Ow,,BMEA,52.55758,13.55343
104,M,Witzleben,,Messe Nord/ICC,,1916-04-01,1929-04-18,,,,,,,1980-09-18,,1993-12-17,,,,Ringbahn,,,Wln,Wz,BMN,52.50684,13.28300
105,M,Eichkamp,,Messe Süd/Eichkamp,,1928-08-23,1928-08-23,,,,,,,1980-09-18,,1998-01-16,,,,Spandauer Vorortbahn,,,Eich,Eic,BMS,52.49886,13.26989
106,M,Zehlendorf West,Lindenthaler Allee,Mexikoplatz,,1904-11-01,1933-05-15,,,,,,,1980-09-18,,1985-02-01,,,,Wannseebahn,,,Mex,Lda,BMEX,52.43710,13.23268
107,M,,,Mühlenbeck-Mönchmühle,,1984-09-02,1984-09-02,,,,,,,,,,,,,Außenring,,,Mkm,,BMM,52.65472,13.38666
108,N,,,Neuenhagen,,1867-10-01,1948-09-01,,,,,,,,,,,,,Ostbahn,,,Ng,,BNG,52.52091,13.69985
109,N,Rixdorf,,Neukölln,,1872-01-01,1928-11-06,,,,,,,1980-09-18,,1993-12-17,,,,Ringbahn,,,Nkn,,BNK,52.46960,13.44204
110,N,,,Nikolassee (Stadtbahn),,1902-05-01,1928-06-11,,,,,,,1984-01-09,,1984-05-01,,,,Wetzlarer Bahn,,,Nio,Ni,BNIS,52.43234,13.19302
